rank,movie_id,title,predicted_rating,because_you_liked,model,user_id
1,7230,The Lord of the Rings: The Fellowship of the Ring: Extended Edition (2001),4.833,"Lord of the Rings: The Return of the King (2003) [rated 4★, similarity=0.996] | Lord of the Rings: The Two Towers (2002) [rated 4★, similarity=0.995] | The Shawshank Redemption: Special Edition (1994) [rated 5★, similarity=0.984]",KNN,742175
2,7057,Lord of the Rings: The Two Towers: Extended Edition (2002),4.782,"Lord of the Rings: The Return of the King (2003) [rated 4★, similarity=0.996] | Lord of the Rings: The Two Towers (2002) [rated 4★, similarity=0.996] | The Shawshank Redemption: Special Edition (1994) [rated 5★, similarity=0.983]",KNN,742175
3,14961,Lord of the Rings: The Return of the King: Extended Edition (2003),4.777,"Lord of the Rings: The Return of the King (2003) [rated 4★, similarity=0.997] | Lord of the Rings: The Two Towers (2002) [rated 4★, similarity=0.995] | The Shawshank Redemption: Special Edition (1994) [rated 5★, similarity=0.984]",KNN,742175
4,16265,Star Wars: Episode IV: A New Hope (1977),4.597,"Lord of the Rings: The Return of the King (2003) [rated 4★, similarity=0.981] | Lord of the Rings: The Two Towers (2002) [rated 4★, similarity=0.980] | The Shawshank Redemption: Special Edition (1994) [rated 5★, similarity=0.978]",KNN,742175
5,5582,Star Wars: Episode V: The Empire Strikes Back (1980),4.596,"Lord of the Rings: The Return of the King (2003) [rated 4★, similarity=0.983] | Lord of the Rings: The Two Towers (2002) [rated 4★, similarity=0.982] | The Shawshank Redemption: Special Edition (1994) [rated 5★, similarity=0.981]",KNN,742175
6,15296,Band of Brothers (2001),4.556,"Saving Private Ryan (1998) [rated 5★, similarity=0.983] | The Shawshank Redemption: Special Edition (1994) [rated 5★, similarity=0.980] | Lord of the Rings: The Return of the King (2003) [rated 4★, similarity=0.978]",KNN,742175
7,15861,CSI: Season 2 (2001),4.543,"Finding Nemo (Widescreen) (2003) [rated 4★, similarity=0.973] | The Shawshank Redemption: Special Edition (1994) [rated 5★, similarity=0.972] | Monsters, Inc. (2001) [rated 5★, similarity=0.970]",KNN,742175
8,10042,Raiders of the Lost Ark (1981),4.536,"The Shawshank Redemption: Special Edition (1994) [rated 5★, similarity=0.982] | Indiana Jones and the Temple of Doom (1984) [rated 5★, similarity=0.981] | Back to the Future (1985) [rated 3★, similarity=0.981]",KNN,742175
9,16147,The Sopranos: Season 1 (1999),4.531,"The Sopranos: Season 2 (2000) [rated 5★, similarity=0.995] | The Sopranos: Season 4 (2002) [rated 4★, similarity=0.993] | The Godfather (1972) [rated 4★, similarity=0.982]",KNN,742175
10,17307,CSI: Season 4 (2003),4.531,"The Shawshank Redemption: Special Edition (1994) [rated 5★, similarity=0.975] | Finding Nemo (Widescreen) (2003) [rated 4★, similarity=0.974] | The Sixth Sense (1999) [rated 5★, similarity=0.972]",KNN,742175
