rank,movie_id,title,predicted_rating,because_you_liked,model,user_id
1,1476,Six Feet Under: Season 4 (2004),5.0,"Cinema Paradiso: Director's Cut (1988) [rated 5★, similarity=0.977] | Stand by Me (1986) [rated 5★, similarity=0.976] | The Shawshank Redemption: Special Edition (1994) [rated 5★, similarity=0.976]",KNN,2181151
2,4353,Curb Your Enthusiasm: Season 3 (2002),5.0,"GoodFellas: Special Edition (1990) [rated 5★, similarity=0.969] | Miller's Crossing (1990) [rated 5★, similarity=0.968] | Rashomon (1950) [rated 5★, similarity=0.967]",KNN,2181151
3,5103,The Simpsons: Season 5 (1993),5.0,"GoodFellas: Special Edition (1990) [rated 5★, similarity=0.980] | Raiders of the Lost Ark (1981) [rated 5★, similarity=0.979] | The Shawshank Redemption: Special Edition (1994) [rated 5★, similarity=0.979]",KNN,2181151
4,5760,The Sopranos: Season 3 (2001),5.0,"GoodFellas: Special Edition (1990) [rated 5★, similarity=0.979] | The Shawshank Redemption: Special Edition (1994) [rated 5★, similarity=0.977] | Raiders of the Lost Ark (1981) [rated 5★, similarity=0.975]",KNN,2181151
5,8116,The Sopranos: Season 4 (2002),5.0,"GoodFellas: Special Edition (1990) [rated 5★, similarity=0.978] | Band of Brothers (2001) [rated 5★, similarity=0.977] | The Shawshank Redemption: Special Edition (1994) [rated 5★, similarity=0.976]",KNN,2181151
6,12293,The Godfather (1972),5.0,"GoodFellas: Special Edition (1990) [rated 5★, similarity=0.984] | The Shawshank Redemption: Special Edition (1994) [rated 5★, similarity=0.980] | Raiders of the Lost Ark (1981) [rated 5★, similarity=0.980]",KNN,2181151
7,14302,The Sopranos: Season 2 (2000),5.0,"GoodFellas: Special Edition (1990) [rated 5★, similarity=0.979] | Band of Brothers (2001) [rated 5★, similarity=0.978] | The Shawshank Redemption: Special Edition (1994) [rated 5★, similarity=0.977]",KNN,2181151
8,14533,The Office: Series 2 (2002),5.0,"Miller's Crossing (1990) [rated 5★, similarity=0.972] | Dog Day Afternoon (1975) [rated 5★, similarity=0.970] | Best in Show (2000) [rated 2★, similarity=0.969]",KNN,2181151
9,16147,The Sopranos: Season 1 (1999),5.0,"GoodFellas: Special Edition (1990) [rated 5★, similarity=0.979] | The Shawshank Redemption: Special Edition (1994) [rated 5★, similarity=0.976] | Raiders of the Lost Ark (1981) [rated 5★, similarity=0.974]",KNN,2181151
10,10080,Six Feet Under: Season 2 (2001),4.984,"The Shawshank Redemption: Special Edition (1994) [rated 5★, similarity=0.972] | Schindler's List (1993) [rated 5★, similarity=0.972] | Cinema Paradiso: Director's Cut (1988) [rated 5★, similarity=0.971]",KNN,2181151
